"ID","INCI","CAS","WE","ANNEX","COSING REF. NO."
"1","(20S)-PROTOPANAXADIOL","30636-90-9","-",,"98158"
"2","(ADONIS AMURENSIS/AKEBIA QUINATA/ALBIZIA JULIBRISSIN/ALTHAEA ROSEA/ANGELICA ACUTILOBA/ANGELICA ANOMALA/AQUILEGIA BUERGERIANA/ARTEMISIA PRINCEPS/ASTER CILIOSUS/ASTER SCABER/BRASSICA CAMPESTRIS/BROUSSONETIA KAZINOKI/CALLISTEPHUS CHINENSIS/CAMELLIA JAPONICA/CAMELLIA SINENSIS/CAMPSIS GRANDIFLORA/CARAGANA SINICA/CARTHAMUSTINCTORIUS/CASSIA OBTUSIFOLIA/CELOSIA CRISTATA/CERCIS CHINENSIS/CHAENOMELES SINENSIS/CHRYSANTHEMUM INDICUM/CHRYSANTHEMUM ZAWADSKII/CLEMATIS TERNIFLORA/COMMELINA COMMUNIS/CORNUS KOUSA/CORNUS OFFICINALIS/CORYDALIS INCISA/CORYDALIS TURTSCHANINOVII/CUCURBITA MOSCHATE/DENDROBIUM NOBILE/DIANTHUS CHINENSIS/ELSHOLTZIA SPLENDENS/EUPATORIUM LINDLEYANUM/FORSYTHIA KOREANA/FRITILLARIA USSURIENSIS/GARDENIA JASMINOIDES/GINKGO BILOBA/HELIANTHUS ANNUUS/HELIANTHUS TUBEROSUS/HEMEROCALLIS FULVA/HIBISCUS MUTABILIS/HIBISCUS SYRIACUS/HOSTA PLANTAGINAE/HYDRANGEA MACROPHYLLA/IMPATIENS BALSAMINA/IPOMOEA HEDERACEA/IRIS PALLASII/IRIS PSEUDACORUS/KERRIA JAPONICA/LAGERSTROEMIA INDICA/LEONURUS SIBIRICUS/LESPEDEZA BICOLOR/LILIUM LANCIFOLIUM/LINDERA OBTUSILOBA/LIRIOPES MUSCARI/LONICERA JAPONICA/LYCORIS RADIATA/MAGNOLIA KOBUS/MAGNOLIA LILIFLORA/MALUS SIEBOLDII/NARCISSUS TAZETTA/NELUMBO NUCIFERA/OENOTHERA BIENNIS/PAEONIA LACTIFLORA/PAEONIA SUFFRUTICOSA/PAPAVER RHOEAS/PATRINIA SCABIOSIFOLIA/PAULOWNIA COREANA/PERSICARIA THUNBERGII/PETASITES JAPONICUS/PLATYCODON GRANDIFLORUS/POLYGONUM ODORATUM/PONICIRUS TRIFOLIATA/PRUNUS ARMENIACA/PRUNUS MUME/PRUNUS PERSICA/PRUNUS SERRULATA/PRUNUS TOMENTOSA/PUERARIA LOBATA/PUNICA GRANATUM/RHODODENDRON MUCRONULATUM/ROBINIA PSEUDACACIA/ROSA MULTIFLORA/ROSA RUGOSA/SASA BOREALIS/SOPHORA JAPONICA/SPIRAEA PRUNIFOLIA/STYRAX JAPONICA/SYRINGA VULGARIS/TARAXACUM PLATYCARPUM/TULIPA EDULIS/VIOLA MANDSCHURICA/WEIGELA SUBSESSILIS/WISTERIA SINENSIS/ZANTHOXYLUM SCHINIFOLIUM/ZEA MAYS/ZINGIBER MIOGA/ZINNIA ELEGANS) FLOWER EXTRACT","-","-",,"99266"
"3","(AGARICUS BLAZEI FERMENT + GANODERMA LUCIDUM FERMENT + GANODERMA MULTIPILEUM FERMENT) EXTRACT","-","-",,"96986"
"4","(ALPINIA ZERUMBET/ARTEMISIA PRINCEPS/AVERRHOA CARAMBOLA/CAMELLIA SINENSIS/ERIOBOTRYA JAPONICA/GINKGO BILOBA/MELISSA OFFICINALIS/MENTHA PIPERITA/OLEA EUROPAEA/ORIGANUM MAJORANA/PERILLA FRUTESCENS/PRUNUS PERSICA/SALVIA OFFICINALIS) LEAF EXTRACT","-","-",,"99267"
"5","(ANGELICA ACUTILOBA/PAEONIA LACTIFLORA) ROOT/CNIDIUM OFFICINALE RHIZOME EXTRACT","-","-",,"99268"
"6","(ANGELICA ACUTILOBA/PAEONIA LACTIFLORA/REHMANNIA GLUTINOSA) ROOT/(CNIDIUM OFFICINALE/ZINGIBER OFFICINALE) RHIZOME EXTRACT","-","-",,"99515"
"7","(ANGELICA ACUTILOBA/PAEONIA LACTIFLORA/REHMANNIA GLUTINOSA) ROOT/CNIDIUM OFFICINALE RHIZOME EXTRACT","-","-",,"90118"
"8","(ANGELICA ACUTILOBA/PAEONIA LACTIFLORA/REHMANNIA GLUTINOSA/SCUTELLARIA BAICALENSIS) ROOT/(CNIDIUM OFFICINALE/COPTIS CHINENSIS) RHIZOME/GARDENIA JASMINOIDES FRUIT/PHELLODENDRON CHINENSE BARK EXTRACT","-","-",,"89285"
"9","(ANGELICA GIGAS/CNIDIUM OFFICINALE/PAEONIA LACTIFLORA) ROOT EXTRACT","-","-",,"99269"
"10","(ANGELICA GIGAS/GLYCYRRHIZA URALENSIS/REHMANNIA GLUTINOSA ROOT)/ANGELICA GIGAS STEM/CARTHAMUS TINCTORIUS FLOWER/(CARTHAMUS TINCTORIUS/PRUNUS PERSICA SEED)PORIA COCOS WATER","-","-",,"89686"
"11","(ANGELICA KEISKEI/CHRYSANTHEMUM ZAWADSKII) LEAF/STEM/CINNAMOMUM CASSIA BARK/TRICHOSANTES KIRILOWII FRUIT/ULMUS DAVIDIANA BARK/ROOT/(PAEONIA JAPONICA/BUPLEURUM FALCATUM/POLYGALA TENUIFOLIA ROOT)/VISCUS ALBUM STEM EXTRACT","-","-",,"90764"
"12","(APPLE/BANANA/GRAPE/LEMON/PAPAYA/PINEAPPLE) FRUIT/CARROT ROOT/SUCROSE FERMENT FILTRATE","-","-",,"100160"
"13","(APPLE/CITRUS JUNOS/LENTIL/PEAR/PUMPKIN/STRAWBERRY/TOMATO FRUIT)/CORN KERNEL/(ARCTIUM LAPPA/BRASSICA OLERACEA ACEPHALA/CABBAGE/CAMELLIA SINENSIS/MORINGA OLEIFERA/RADISH/SPINACH LEAF)/(SORGHUM BICOLOR LEAF/STEM)/OAT MEAL/POTATO PULP/(CARROT/NELUMBO NUCIFERA/RADISH/WILD YAM ROOT)/(AMARANTHUS HYPOCHONDRIACUS/CASHEW/CICER ARIETINUM/COIX LACRYMA-JOBI MA-YUEN /MACADAMIA TERNIFOLIA/PHASEOLUS ANGULARIS/PISTACIA VERA/RHYNCHOSIA NULUBILIS/RICE/SESAME/SETARIA ITALICA/SOYBEAN/SWEET ALMOND/WHEAT SEED)/HORDEUM VULGARE SPROUT/CYPERUS ESCULENTUS TUBER/ARTEMISIA PRINCEPS/BROCCOLI/CHENOPODIUM QUINOA/ENTEROMORPHA COMPRESSA/HORDEUM VULGARE/IPOMOEA BATATAS/LAMINARIA JAPONICA/LENTINUS EDODES/PLEUROTUS OSTREATUS/PORPHYRA TENERA/UNDARIA PINNATIFIDA EXTRACT","-","-",,"96659"
"14","(ARCTIUM LAPPA/CARROT/COLOCASIA ESCULENTA/DIOSCOREA BATATAS/GARLIC/GINGER/IPOMOEA BATATAS/NELUMBO NUCIFERA/ONION/POTATO BULBS)/(CHESTNUT/CITRUS UNSHIU/EGGPLANT/FIG/GRAPE/KIWI/LYCOPERSICON ESCULENTUM/MALUS PUMILA/MUME/PEACH/PLUM/PUMPKIN/PYRUS SEROTINA/RADISH/ZIZIPHUS JUJUBA FRUIT)/(ALLIUM TUBEROSUM/ALOE BARBADENSIS/ANGELICA UTILIS/BRASSICA OLERACEA ACEPHALA/CABBAGE/CELERY/SACCHARINA JAPONICA/UNDARIA PINNATIFIDA LEAF)/(ALLIUM FISTULOSUM/ENTEROMORPHA COMPRESSA/OENANTHE JAVANICA STALK)/LENTINULA EDODES/SUCROSE FERMENT FILTRATE","-","-",,"98655"
"15","(ARCTIUM LAPPA/RAPHANUS SATIVUS (RADISH)/MALVA VERTICILLATA) SEED OIL","-","-",,"99526"
"16","(ARCTIUM LAPPA/RAPHANUS SATIVUS/MALVA VERTICILLATA) SEED OIL","-","-",,"99270"
"17","(ARNICA MONTANA/ARTEMISIA CAPILLARIS/CALENDULA OFFICINALIS/COLTSFOOT/CYANUS SEGETUM/HONEYSUCKLE/HOPS/LAVENDER/MALLOW/MATRICARIA CHAMOMILLA/ROSA CENTIFOLIA/SAMBUCUS NIGRA) FLOWER EXTRACT","-","-",,"99547"
"18","(ARNICA MONTANA/ARTEMISIA CAPILLARIS/CALENDULA OFFICINALIS/CYANUS SEGETUM / MATRICARIA CHAMOMILLA/HUMULUS LUPULUS/LAVANDULA ANGUSTIFOLIA/LONICERA JAPONICA/MALVA SYLVESTRIS/ROSA CENTIFOLIA/SAMBUCUS NIGRA/TILIA CORDATA/TUSSILAGO FARFARA) FLOWER EXTRACT","-","-",,"99537"
"19","(ARNICA MONTANA/CALENDULA OFFICINALIS/MATRICARIA CHAMOMILLA) FLOWER EXTRACT","-","-",,"99541"
"20","(ARTEMISIA CAPILLARIS/CINNAMOMUM CASSIA BARK/SCUTELLARIA BAICALENSIS ROOT/COPTIS JAPONICA RHIZOME) EXTRACT","-","-",,"99707"
"21","(ARTEMISIA PRINCEPS/DENDROPANAX MORBIFERA/ECLIPTA PROSTRATA/ERIOBOTRYA JAPONICA/OROSTACHYS JAPONICA/PORTULACA OLERACEA/SASA BOREALIS/ZIZANIA LATIFOLIA) LEAF/STEM EXTRACT","-","-",,"99609"
"22","(ARTEMISIA SIEVERSIANA/DIMOCARPUS LONGANA) FLOWER/LEAF/STEM EXTRACT","-","-",,"99516"
"23","(ASPERGILLUS/SACCHAROMYCES)/RICE FERMENT/BARLEY GRAIN MEAL/NELUMBO NUCIFERA FLOWER EXTRACT FERMENT EXTRACT FILTRATE","-","-",,"96118"
"24","(ASTRAGALUS MEMBRANACEUS/GLYCYRRHIZA URALENSIS (LICORICE)/PANAX GINSENG) ROOT/AMOMUM XANTHIOIDES SEED/HORDEUM VULGARE SPROUT/ARALIA CORDATA/ACHYRANTHES JAPONICA EXTRACT","-","-",,"98651"
"25","(BETULA PLATYPHYLLA/CINNAMOMUM CASSIA) BARK/(ACHYRANTHES JAPONICA/SCUTELLARIA BAICALENSIS/VALERIANA AMURENSIS) ROOT/BIANCAEA SAPPAN TRUNK EXTRACT","-","-",,
"26","(BIDENS TRIPARTITA FLOWER/LEAF/STEM)/PERILLA FRUTESCENS LEAF/PRUNELLA VULGARIS EXTRACT","-","-",,"96671"
"27","(BIFIDOBACTERIUM LYSATE & POLOXAMER 407) EXTRACT","-","-",,
"28","(BIFIDOBACTERIUM/POLYSORBATE 80 FERMENT + LACTOBACILLUS/POLYSORBATE 80 FERMENT) LYSATE FILTRATE","-","-",,"96818"
"29","(BROCCOLI/CABBAGE/ERUCA SATIVA/RADISH) SPROUT/MORINGA OLEIFERA LEAF EXTRACT","-","-",,
"30","(BROCCOLI/ERUCA SATIVA/LEPIDIUM SATIVUM/NASTURTIUM OFFICINALE/RADISH) SPROUT EXTRACT","-","-",,"97166"
"31","(CALENDULA OFFICINALIS/SAFFLOWER FLOWER)/(ACHILLEA MILLEFOLIUM FLOWER/LEAF/STEM)/(VACCINIUM MYRTILLUS/VITEX AGNUS-CASTUS FRUIT)/RHUS CHINENSIS GALL/WALNUT HUSK/(CAMELLIA SINENSIS/NETTLE LEAF)/(JUNIPERUS COMMUNIS LEAF/STEM)/HORSE CHESTNUT NUT/DICHROA FEBRIFUGA ROOT/GRAPE SEED/ACACIA CATECHU WOOD/GOLDENROD/HYPERICUM PERFORATUM EXTRACT","-","-",,"94110"
"32","(CAMELLIA JAPONICA/PRUNUS MUME/SAFFLOWER FLOWER)/(ARONIA ARBUTIFOLIA/BLUEBERRY/CRANBERRY/EUTERPE OLERACEA FRUIT)/CAMELLIA SINENSIS LEAF/GARCINIA MANGOSTANA PEEL/COFFEE SEED/PROPOLIS/WINE EXTRACT","-","-",,"94144"
"33","(CANANGA ODORATA FLOWER/LEAF)/GANODERMA LUCIDUM FRUITING BODY/(CORCHORUS OLITORIUS/HENNA/MELIA AZADIRACHTA/MORUS ALBA/MUNTINGIA CALABURA/PSIDIUM GUAJAVA/TAMARINDUS INDICA LEAF)/(CITRUS HYSTRIX LEAF/PEEL)/(CITRONELLA/CYMBOPOGON SCHOENANTHUS/OCIMUM TENUIFLORUM LEAF/STEM)/(ALPINIA GALANGA/BOESENBERGIA ROTUNDA/GINGER/TURMERIC RHIZOME)/ZINGIBER CASSUMUNAR ROOT EXTRACT","-","-",,"94450"
"34","(CARTHAMUS TINCTORIUS/CHAMOMILLA RECUTITA/SYZYGIUM AROMATICUM) FLOWER/(LITHOSPERMUM ERYTHRORHIZON/SOPHORA FLAVESCENS/SCUTELLARIA BAICALENSIS) ROOT EXTRACT","-","-",,"89269"
"35","(CINNAMOMUM CASSIA/MAGNOLIA OFFICINALIS) BARK/(ALPINIA OFFICINARUM/ANGELICA GIGAS) ROOT EXTRACT","-","-",,
"36","(CITRUS AURANTIUM AMARA/FORSYTHIA SUSPENSA) FRUIT/SCUTELLARIA BAICALENSIS ROOT EXTRACT","-","-",,"96366"
"37","(CNIDIUM OFFICINALE/COPTIS CHINENSIS/GLYCYRRHIZA URALENSIS) ROOT EXTRACT","-","-",,"97164"
"38","(CODONOPSIS TANGSHEN/DIOSCOREA JAPONICA) ROOT/ATRACTYLODES JAPONICA RHIZOME/PORIA COCOS/(DOLICHOS LABLAB/COIX LACRYMA-JOBI MA-YUEN/EURYALE FEROX/NELUMBO NUCIFERA) SEED EXTRACT","-","-",,"90383"
"39","(CORNUS OFFICINALIS/LYCIUM CHINENSE/MORUS BOMBYCIS/RICE/SCHISANDRA CHINENSIS/ZIZYPHUS JUJUBA) FRUIT/(CAMELLIA SINENSIS/DIOSPYROS KAKI/GINKGO BILOBA/PERILLA FRUTESCENS) LEAF/CITRUS UNSHIU PEEL/(CODONOPSIS LANCEOLATA/CYNANCHUM WILFORDII/PANAX GINSENG/PLATYCODON GRANDIFLORUM/PLEUROPTERUS MULTIFLORUS/POLYGONATUM ODORATUM) ROOT/GLYCINE MAX SEED/(ELEUTHEROCOCCUS SENTICOSUS/LICORICE) STEM/(ARTEMISIA ANNUA/HOUTTUYNIA CORDATA) STEM/LEAF/CIRSIUM JAPONICUM/DANDELION/LAMINARIA DIGITATA/TARAXACUM PLATYCARPUM WATER","-","-",,
"40","(CRYPTOMERIA JAPONICA/CHAMAECYPARIS OBTUSA) STEM FERMENT EXTRACT","-","-",,"98157"
"41","(CURCUMA LONGA/GLYCYRRHIZA URALENSIS) ROOT EXTRACT","-","-",,
"42","(ECLIPTA PROSTRATA/HOUTTUYNIA CORDATA) LEAF EXTRACT","-","-",,"97165"
"43","(EUTERPE OLERACEA/EUTERPE PRECATORIA) FRUIT EXTRACT","-","-",,
"44","(EUTERPE OLERACEA/EUTERPE PRECATORIA/THEOBROMA GRANDIFLORUM) FRUIT EXTRACT","-","-",,
"45","(GELIDIUM ELEGANS/LINGULATUM/REX/SESQUIPEDALE)/(GRACILARIA CHILENSIS/VERMICULOPHYLLA)/PTEROCLADIELLA TENUIS OLIGOSACCHARIDES","-","-",,"93903"
"46","(GLYCYRRHIZA URALENSIS (LICORICE)/HEDYCHIUM SPICATUM/SCUTELLARIA BAICALENSIS) ROOT EXTRACT","-","-",,
"47","(GRIFOLA FRONDOSA/ INONOTUS OBLIQUUS/ SCHIZOPHYLLUM COMMUNE/ TRICHOLOMA MATSUTAKE) MYCELIUM /LETHARIELLA CLADONIOIDES FERMENT EXTRACT FILTRATE","-","-",,"92134"
"48","(GRIFOLA FRONDOSA/INONOTUS OBLIQUUS/SCHIZOPHYLLUM COMMUNE/TRICHOLOMA MATSUTAKE) MYCELIUM/LETHARIELLA CLADONIOIDES FERMENT EXTRACT FILTRATE","-","-",,"92134"
"49","(HONEY + ZYMOMONAS FERMENT) EXTRACT","-","-",,"97168"
"50","(HYLOCEREUS UNDATUS/ACTINIDIA CHINENSIS) PEEL EXTRACT","-","-",,
"51","(LACTOBACILLUS/MILLET SEED FLOUR FERMENT & PANICUM MILIACEUM SEED EXTRACT) FILTRATE","-","-",,"98516"
"52","(LACTOBACILLUS/POLYSORBATE 80 FERMENT + LEUCONOSTOC/POLYSORBATE 80 FERMENT) LYSATE FILTRATE","-","-",,"96819"
"53","(LAVANDULA ANGUSTIFOLIA/MELISSA OFFICINALIS/HYPERICUM PERFORATUM) FLOWER/(CAMELLIA SINENSIS LEAF/(GLYCYRRHIZA GLABRA/ACANTHOPANAX SENTICOSUS) ROOT/SARRACENIA COBRA NEST LEAF/FLOWER/STALK EXTRACT","-","-",,"93671"
"54","(LEPIDIUM MEYENII/SARCODON ASPRATUS) ROOT WATER","-","-",,"89457"
"55","(LESPEDEZA BICOLOR/PHELLODENDRON AMURENSE BARK)/MENTHA ARVENSIS LEAF/(ANEMARRHENA ASPHODELOIDES/SCUTELLARIA BAICALENSIS ROOT) EXTRACT","-","-",,"97163"
"56","(LICORICE/REYNOUTRIA JAPONICA) ROOT/STEM EXTRACT","-","-",,"96674"
"57","(LINDERA STRYCHNIFOLIA/PAEONIA ALBIFLORA) ROOT/COMMIPHORA MYRRHA RESIN/SWERTIA JAPONICA/UNCARIA GAMBIR EXTRACT","-","-",,"90728"
"58","(LIQUIDAMBAR FORMOSANA/TRIBULUS TERRESTRIS) FRUIT/PAEONIA LACTIFLORA ROOT EXTRACT","-","-",,"94895"
"59","(LIQUIDAMBAR STYRACIFLUA/TRIBULUS TERRESTRIS) FRUIT/PAEONIA LACTIFLORA ROOT EXTRACT","-","-",,"94896"
"60","(MAGNOLIA OFFICINALIS/PHELLODENDRON AMURENSE) BARK/CAMELLIA JAPONICA LEAF/ZINGIBER OFFICINALE ROOT/CITRUS PARADISI SEED WATER","-","-",,"89461"
"61","(MORUS ALBA FRUIT/SUCROSE FERMENT FILTRATE) POLYGONUM MULTIFLORUM ROOT EXTRACT FERMENT FILTRATE","-","-",,
"62","(OLIVE FLOWER/LEAF)/(DITTRICHIA VISCOSA/MALLOW/PARIETARIA OFFICINALIS/SAGE FLOWER/LEAF/STEM)/(ECBALLIUM ELATERIUM FRUIT/LEAF)/(AGAVE AMERICANA/CYNARA CARDUNCULUS/MASTIC LEAF)/(ACANTHUS MOLLIS/RHAGADOLIUS STELLATUS/VERBASCUM SINUATUM/VERBENA OFFICINALIS LEAF/FLOWER)/(MORINGA OLEIFERA LEAF/SHOOT)/(ARTEMISIA ARBORESCENS/THYMUS CAPITATUS LEAF/STEM)/(LYCIUM BARBARUM SHOOT/FRUIT/LEAF/STEM) EXTRACT","-","-",,
"63","(PAEONIA LACTIFLORA BARK/SAP)/PHELLODENDRON AMURENSE BARK/MENTHA ARVENSIS LEAF/SCUTELLARIA BAICALENSIS ROOT EXTRACT","-","-",,"95360"
"64","(PAEONIA LACTIFLORA BARK/SAP)/PHELLODENDRON AMURENSE BARK/SCUTELLARIA BAICALENSIS ROOT/MENTHA ARVENSIS EXTRACT","-","-",,
"65","(PANAX GINSENG MERISTEM CELL + TAXUS CUSPIDATA MERISTEM CELL CULTURE CONDITIONED MEDIA + PANAX GINSENG LEAF/ROOT/STEM POWDER) EXTRACT","-","-",,"97167"
"66","(POLYGONUM MULTIFLORUM/GASTRODIA ELATA) STEM/ANGELICA KEISKEI LEAF/STEM/PTEROCARPUS SANTALINUS BARK/ZIZYPHUS JUJUBA SEED/THUJA ORIENTALIS FRUIT/ULMUS DAVIDIANA BARK/ROOT/(LIRIOPE PLATYPHYLLA/ADENOPHORA TRIPHYLLA) ROOT WATER","-","-",,
"67","(SH-PENTAPEPTIDE-10 6-AMINOCAPROOYL SH-PENTAPEPTIDE-11) SP","-","-",,"97098"
"68","(VETIVERIA ZIZANOIDES ROOT/PUERARIA THUNBERGIANA FLOWER/LEAF/STEM) WATER","-","-",,
"69","[LACTOBACILLUS/(CIRSIUM JAPONICUM/MORINGA OLEIFERA LEAF) EXTRACT FERMENT & SUCROSE] EXTRACT FILTRATE","-","-",,"97498"
"70","1,10-DECANEDIOL","112-47-0","203-975-2",,"54168"
"71","1,1-DIMETHYL-2-PHENYLETHYL ISOBUTYRATE","59354-71-1","261-715-3",,"39661"
"72","1,1-DIMETHYL-3-PHENYLPROPYL ISOBUTYRATE","10031-71-7","233-092-8",,"39242"
"73","1,2,3,4,4A,5,6,7-OCTAHYDRO-2,5,5-TRIMETHYL-2-NAPHTHOL","41199-19-3","255-256-8",,"40512"
"74","1,2,3,4,4A,7,8,8A-OCTAHYDRO-2,4A,5,8A-TETRAMETHYL-NAPHTHYL FORMATE","65405-72-3","265-742-1",,"40507"
"75","1,2,4-BENZENETRIACETATE","613-03-6","210-327-2",,"31464"
"76","1,2,4-TRIHYDROXYBENZENE","533-73-3","208-575-1",,"31465"
"77","1,2,6-HEXANETRIOL","106-69-4","203-424-6",,"31466"
"78","1,2-BIS-(2-AMINOETHOXY)ETHANE","-","-",,"97358"
"79","1,2-BUTANEDIOL","584-03-2","209-527-2",,"54169"
"80","1,2-DIHYDROLINALOOL","18479-51-1","242-359-8",,"39563"
"81","1,2-HEPTANEDIOL","3710-31-4","855-780-2",,
"82","1,2-HEXANEDIOL","6920-22-5","230-029-6",,"54170"
"83","1,2-HEXANEDIYL DICAPRATE","-","-",,"91167"
"84","1,3,4,6-TETRAMETHYL-2-PYRIMIDONE SULFATE","-","-",,"98018"
"85","1,3-BIS-(2,4-DIAMINOPHENOXY) PROPANE HCL","74918-21-1","278-022-7","III/202","41535"
"86","1,3-BIS-(2,4-DIAMINOPHENOXY)PROPANE","81892-72-0","279-845-4","III/202","31467"
"87","1,3-BIS-(2,4-DIAMINOPHENOXY)PROPANE HCL","74918-21-1","278-022-7","III/202","41535"
"88","1,3-BIS-(ISOCYANATOMETHYL) CYCLOHEXANE","38661-72-2","609-567-4",,"95280"
"89","1,3-DIMETHYL-3-PHENYLBUTYL ACETATE","68083-58-9","268-407-8",,"39658"
"90","1,3-DIMETHYL-BICYCLOHEPTANE-2-CARBONITRILE","104516-97-4","-",,"39592"
"91","1,3-EPOXY-4-VINYLCYCLOHEXANE","106-86-5","-",,
"92","1,4-BUTANEDIOL","110-63-4","203-786-5",,"54173"
"93","1,4-BUTANEDIOL BISDECANOATE","-","-",,"88106"
"94","1,4-BUTANEDIOL DIMETHACRYLATE","2082-81-7","218-218-1",,"83239"
"95","1,4-BUTANEDIOL/SUCCINIC ACID/ADIPIC ACID COPOLYMER","67423-06-7","-",,"96917"
"96","1,4-BUTANEDIOL/SUCCINIC ACID/ADIPIC ACID/HDI COPOLYMER","119553-67-2","-",,"92811"
"97","1,4-CYCLOHEXANEDICARBOXYLIC ACID","1076-97-7","214-068-6",,"97446"
"98","1,4-CYCLOHEXANEDIOL BIS-ETHYLHEXANOATE","-","-",,"88105"
"99","1,5,9-TRIMETHYL-OXABICYCLOTRIDECADIENE","13786-79-3 / 71735-79-0","237-443-6 / 275-967-7",,"41232"
"100","1,5-DIMETHYL-1-VINYLHEX-4-ENYL HEXANOATE","7779-23-9","231-922-3",,"39259"
"101","1,5-NAPHTHALENEDIOL","83-56-7","201-487-4","III/238","31468"
"102","1,5-PENTANEDIOL","111-29-5","203-854-4",,"81397"
"103","1,6-HDI/POLYVINYL ALCOHOL/ETHYLENEDIAMINE CROSSPOLYMER","-","-",,"96417"
"104","1,6-HEXAMETHYLENE DIISOCYANATE","822-06-0","212-485-8",,"95281"
"105","1,6-HEXANEDIAMINE","124-09-4","204-679-6",,"83542"
"106","1,7-NAPHTHALENEDIOL","575-38-2","209-383-0",,"41708"
"107","10-HYDROXY-1,8-P-MENTHADIENE","15766-66-2","239-857-2",,"40282"
"108","10-HYDROXYDECANOIC ACID","1679-53-4","216-848-1",,"54174"
"109","10-HYDROXYDECENOIC ACID","765-01-5","-",,"54175"
"110","10-HYDROXYSTEARIC ACID","638-26-6","-",,"92027"
"111","10-UNDECENYL ACETATE","112-19-6","203-944-3",,"41275"
"112","16-ALPHA ETHYL ESTRADIOLCARBOXYLATE","345294-78-2","-",,"98168"
"113","16-BETA METHYL ESTRADIOLPROPANOATE","-","-",,"98002"
"114","1-ACETONAPHTHONE","941-98-0","213-384-1",,"54176"
"115","1-ACETOXY-2-METHYLNAPHTHALENE","5697-02-9","454-690-7","III/212","31469"
"116","1-ALLYL-3,4,6-TRIMETHYL-2-PYRIMIDONE BROMIDE","878476-91-6","-",,"98015"
"117","1-ETHYL-3-METHOXY-TRICYCLOHEPTANE","31996-78-8","403-610-9",,"39894"
"118","1-ETHYLCYCLOHEXANE-1,4-DIMETHANOL","67663-05-2","266-851-7",,"39841"
"119","1-FURFURYL-1H-PYRROLE","1438-94-4","215-876-1",,"40009"
"120","1-HEXEN-3-OL","4798-44-1","225-355-0",,"40188"
"121","1-HEXYL 4,5-DIAMINO PYRAZOLE SULFATE","1361000-03-4","-","III/300","92298"
"122","1-HYDROXYETHYL 4,5-DIAMINO PYRAZOLE SULFATE","155601-30-2","429-300-3","III/273","54177"
"123","1-ISOPROPYL-4-METHYLBICYCLOOCTENE-2-CARBALDEHYDE","67920-94-9","267-755-8",,"39712"
"124","1-METHYL-4-METHYLETHENYL-CYCLOHEXENE SULFURIZED","68921-26-6","272-933-3",,"40717"
"125","1-METHYL-4-METHYLVINYL-CYCLOHEXANOL","138-87-4","205-342-6",,"40729"
"126","1-METHYL-4-METHYLVINYL-CYCLOHEXENE","6876-12-6","229-977-3",,"40731"
"127","1-METHYL-4-METHYLVINYL-CYCLOHEXYL ACETATE","10198-23-9","233-494-3",,"40732"
"128","1-METHYLDECYL ACETATE","14936-67-5","239-011-2",,"40661"
"129","1-METHYLHYDANTOIN-2-IMIDE","60-27-5","200-466-7",,"54178"
"130","1-NAPHTHALENEACETIC ACID","86-87-3","-",,"90935"
"131","1-NAPHTHOL","90-15-3","201-969-4","III/16","31470"
"132","1-NITROPROPANE","108-03-2","203-544-9",,"95453"
"133","1-NONEN-3-OL","21964-44-3","244-686-1",,"40994"
"134","1-PENTEN-3-OL","616-25-1","210-472-1",,"40582"
"135","1-PHENYLPROPYL ACETATE","2114-29-6","218-312-2",,"40643"
"136","1-TRIMETHYL-2-CYCLOHEXENYL-1-PENTEN-3-ONE","7779-30-8","231-926-5",,"41201"
"137","1-TRIMETHYL-3-CYCLOHEXENYLETHANONE","68480-14-8","270-891-0",,"41199"
"138","2-(1-ETHYLPROPYL)PYRIDINE","7399-50-0","230-998-5",,"39926"
"139","2-(2-AMINOETHOXY)ETHANOL","929-06-6","213-195-4",,"82367"
"140","2,2-DIMETHYL-3-PHENYLPROPIONALDEHYDE","1009-62-7","213-771-5",,"39241"
"141","2,2'-METHYLENEBIS 4-AMINOPHENOL","63969-46-0","440-850-3",,"41601"
"142","2,2'-METHYLENEBIS 4-AMINOPHENOL HCL","27311-52-0","-","III/284","54179"
"143","2,2'-THIOBIS(4-CHLOROPHENOL)","97-24-5","202-568-7",,"31471"
"144","2,3,4,4A,5,6,7,8-OCTAHYDRO-2,5,5-TRIMETHYL-2-NAPHTHOL","643-53-8","211-399-8",,"40511"
"145","2,3,6-TRIMETHYLCYCLOHEXYLMETHYL ACETATE","67801-27-8","267-147-2",,"41205"
"146","2,3,6-TRIMETHYLPHENOL","2416-94-6","219-330-3",,"41239"
"147","2,3-BUTANEDIOL","513-85-9 / 5341-95-7 / 24347-58-8","208-173-6; 823-920-1; 246-186-9",,"54180"
"148","2,3-DIAMINODIHYDROPYRAZOLO PYRAZOLONE DIMETHOSULFONATE","857035-95-1","469-500-8","III/279","83274"
"149","2,3-DIETHYLPYRAZINE","15707-24-1","239-800-1",,"39542"
"150","2,3-DIHYDRO-2,2,6-TRIMETHYLBENZALDEHYDE","116-26-7","204-133-7",,"39582"
"151","2,3-DIMETHYL-2-NONENENITRILE","53153-67-6","258-399-4",,"39647"
"152","2,3-DIMETHYL-4-(2,6,6-TRIMETHYL-1-CYCLOHEXENYL)-2-BUTENAL","71850-78-7","276-097-0",,"39254"
