"ID","INCI","CAS","WE","ANNEX","COSING REF. NO."
"9037","DINITROGLYCERYL DINOPROSTONATE","189940-83-8","-",,
"9038","DINONOXYNOL-4 PHOSPHATE","-","-",,"84636"
"9039","DINONOXYNOL-9 CITRATE","-","-",,"84559"
"9040","DINONYL PHENOL","1323-65-5","215-356-4",,"33509"
"9041","DINOPROSTOYL ISOPROPYLSERINATE","2389059-87-2","-",,
"9042","DIOCTADECANYL DIDECYLTETRADECANOATE","-","-",,"55932"
"9043","DIOCTADECANYL DITETRADECYLOCTADECANOATE","-","-",,"55933"
"9044","DIOCTYLAMINOETHOXYTRIAZINE AMINOPROPYL SILSESQUIOXANE SILICATE","-","-",,"96412"
"9045","DIOCTYLDECYL IPDI","185529-25-3","-",,"55934"
"9046","DIOCTYLDODECETH-2 LAUROYL GLUTAMATE","94291-93-7","304-921-1",,"75905"
"9047","DIOCTYLDODECETH-5 LAUROYL GLUTAMATE","-","-",,"55935"
"9048","DIOCTYLDODECYL ADIPATE","85117-94-8","285-645-8",,"33511"
"9049","DIOCTYLDODECYL DIMER DILINOLEATE","129423-60-5","-",,"75907"
"9050","DIOCTYLDODECYL DODECANEDIOATE","129423-55-8","-",,"75908"
"9051","DIOCTYLDODECYL FLUOROHEPTYL CITRATE","-","-",,"55936"
"9052","DIOCTYLDODECYL IPDI","185458-75-7","-",,"55937"
"9053","DIOCTYLDODECYL LAUROYL GLUTAMATE","82204-94-2","279-917-5",,"75909"
"9054","DIOCTYLDODECYL MALATE","-","-",,"83305"
"9055","DIOCTYLDODECYL SEBACATE","69275-01-0","-",,"55938"
"9056","DIOCTYLDODECYL STEAROYL DIMER DILINOLEATE","-","-",,"33515"
"9057","DIOCTYLDODECYL STEAROYL GLUTAMATE","-","-",,"75911"
"9058","DIOLEOYL EDETOLMONIUM METHOSULFATE","111030-96-7","-",,"75912"
"9059","DIOLEOYL PG-TRIMONIUM CHLORIDE","132172-61-3","-",,"93491"
"9060","DIOLEOYLAMIDOETHYL HYDROXYETHYLMONIUM METHOSULFATE","92888-37-4","296-636-3",,"33519"
"9061","DIOLEOYLETHYL HYDROXYETHYLMONIUM METHOSULFATE","155042-51-6","-",,"33520"
"9062","DIOLEOYLISOPROPYL DIMONIUM METHOSULFATE","112065-30-2","-",,"33521"
"9063","DIOLETH-8 PHOSPHATE","-","-",,"75916"
"9064","DIOLEYL PHOSPHATE","14450-07-8","238-431-3",,"55939"
"9065","DIOLEYL PHOSPHATIDYLETHANOLAMINE","2462-63-7","-",,
"9066","DIOLEYL TOCOPHERYL METHYLSILANOL","130986-04-8","-",,"33524"
"9067","DIONAEA MUSCIPULA EXTRACT","-","-",,"84714"
"9068","DIOSCOREA BATATAS BULB/LIGUSTRUM JAPONICUM FRUIT/(ANGELICA GIGAS/GASTRODIA ELATA ROOT)/(CANNABIS SATIVA/IMPATIENS BALSAMINA/PAULOWNIA TOMENTOSA/PLATYCLADUS ORIENTALIS SEED)/GLEDITSIA SINENSIS THORN/ACORUS GRAMINEUS/ECLIPTA PROSTRATA/MENTHA HAPLOCALYX/WOLFIPORIA EXTENSA EXTRACT","-","-",,
"9069","DIOSCOREA BATATAS EXTRACT","90147-47-0","290-439-6",,"82944"
"9070","DIOSCOREA BATATAS ROOT EXTRACT","90147-47-0","290-439-6",,"82945"
"9071","DIOSCOREA COMPOSITA ROOT EXTRACT","-","-",,"55940"
"9072","DIOSCOREA JAPONICA FRUIT/CALCIUM HYDROXIDE/MAGNESIUM HYDROXIDE/POTASSIUM OXIDE/SILICA/SODIUM HYDROXIDE/SUCROSE FERMENT FILTRATE","-","-",,"96356"
"9073","DIOSCOREA JAPONICA ROOT EXTRACT","-","-",,"55941"
"9074","DIOSCOREA JAPONICA ROOT POWDER","-","-",,"95487"
"9075","DIOSCOREA MEXICANA ROOT EXTRACT","-","-",,"55942"
"9076","DIOSCOREA OPPOSITA ROOT","-","-",,"55943"
"9077","DIOSCOREA OPPOSITA ROOT EXTRACT","-","-",,"55944"
"9078","DIOSCOREA OPPOSITIFOLIA ROOT","-","-",,"93793"
"9079","DIOSCOREA OPPOSITIFOLIA ROOT EXTRACT","-","-",,"93777"
"9080","DIOSCOREA PANTHAICA ROOT EXTRACT","-","-",,"82760"
"9081","DIOSCOREA POLYSTACHYA EXTRACT","-","-",,"83704"
"9082","DIOSCOREA VILLOSA ROOT EXTRACT","90147-49-2","290-441-7",,"55945"
"9083","DIOSGENIN","512-04-9","208-134-3",,"83646"
"9084","DIOSGENIN ARGININATE","-","-",,"92292"
"9085","DIOSGENIN DIPEPTIDE-33 HCL","-","-",,"93501"
"9086","DIOSMETIN","520-34-3","208-291-8",,"83530"
"9087","DIOSMINE","520-27-4","208-289-7",,"33526"
"9088","DIOSPYROS EBENUM BARK EXTRACT","97281-43-1","306-543-2",,"55946"
"9089","DIOSPYROS KAKI CALYX EXTRACT","91721-74-3","294-374-4",,"55947"
"9090","DIOSPYROS KAKI FRUIT","91721-74-3","294-374-4",,"84201"
"9091","DIOSPYROS KAKI FRUIT EXTRACT","91721-74-3","294-374-4",,"55948"
"9092","DIOSPYROS KAKI FRUIT JUICE","-","-",,"96976"
"9093","DIOSPYROS KAKI FRUIT POWDER","-","-",,"90704"
"9094","DIOSPYROS KAKI LEAF EXTRACT","91721-74-3","294-374-4",,"75919"
"9095","DIOSPYROS KAKI LEAF POWDER","91721-74-3","294-374-4",,"88028"
"9096","DIOSPYROS KAKI LEAF WATER","91721-74-3","294-374-4",,"92078"
"9097","DIOSPYROS KAKI PEEL EXTRACT","91721-74-3","294-374-4",,"86751"
"9098","DIOSPYROS KAKI PEEL WATER","-","-",,
"9099","DIOSPYROS LOTUS LEAF EXTRACT","-","-",,"95670"
"9100","DIOSPYROS MCPHERSONII WOOD EXTRACT","-","-",,"97325"
"9101","DIOSPYROS MCPHERSONII WOOD WATER","-","-",,"97326"
"9102","DIOSPYROS MESPILIFORMIS LEAF EXTRACT","-","-",,"55949"
"9103","DIOSPYROS NITIDA FRUIT EXTRACT","-","-",,"97007"
"9104","DIOXOLANE","646-06-0","211-463-5",,"55950"
"9105","DIPA-HYDROGENATED COCOATE","-","-",,"33530"
